,Type,Viewership Score,Days In Top 10
4413,TV Show,119,19
4414,TV Show,34,7
4415,TV Show,814,236
4416,TV Show,297,40
4417,Movie,49,7
4418,TV Show,81,19
4419,Movie,2,2
4420,TV Show,67,7
4421,Movie,50,6
4422,TV Show,121,13
4423,TV Show,41,8
4424,TV Show,125,20
4425,TV Show,819,237
4426,TV Show,301,41
4427,Movie,5,3
4428,TV Show,83,20
4429,Movie,50,8
4430,TV Show,77,8
4431,Movie,59,7
4432,TV Show,129,14
4433,TV Show,48,9
4434,TV Show,825,238
4435,TV Show,130,21
4436,TV Show,4,1
4437,TV Show,304,42
4438,TV Show,39,9
4439,TV Show,84,21
4440,Movie,10,1
4441,TV Show,86,9
4442,Movie,67,8
4443,TV Show,136,15
4444,TV Show,831,239
4445,TV Show,53,10
4446,TV Show,8,2
4447,TV Show,3,1
4448,TV Show,41,10
4449,TV Show,131,22
4450,Movie,20,2
4451,TV Show,95,10
4452,Movie,75,9
4453,TV Show,143,16
4454,TV Show,14,3
4455,TV Show,8,2
4456,TV Show,835,240
4457,TV Show,56,11
4458,TV Show,43,11
4459,TV Show,132,23
4460,Movie,30,3
4461,TV Show,104,11
4462,Movie,83,10
4463,TV Show,150,17
4464,TV Show,20,4
4465,TV Show,13,3
4466,TV Show,839,241
4467,TV Show,3,1
4468,TV Show,58,12
4469,TV Show,44,12
4470,Movie,40,4
4471,TV Show,113,12
4472,Movie,91,11
4473,TV Show,157,18
4474,TV Show,19,4
4475,TV Show,844,242
4476,TV Show,24,5
4477,TV Show,61,13
4478,TV Show,5,2
4479,TV Show,45,13
4480,Movie,50,5
4481,TV Show,122,13
4482,Movie,99,12
4483,TV Show,851,243
4484,TV Show,163,19
4485,TV Show,24,5
4486,TV Show,9,3
4487,TV Show,27,6
4488,TV Show,63,14
4489,TV Show,305,43
4490,TV Show,132,14
4491,Movie,59,6
4492,TV Show,96,16
4493,TV Show,858,244
4494,Movie,105,13
4495,Movie,5,1
4496,TV Show,167,20
4497,TV Show,27,6
4498,TV Show,11,4
4499,TV Show,28,7
4500,TV Show,142,15
4501,Movie,68,7
4502,TV Show,104,17
4503,Movie,12,2
4504,TV Show,864,245
4505,Movie,110,14
4506,TV Show,171,21
4507,TV Show,14,5
4508,TV Show,30,8
4509,TV Show,28,7
4510,Movie,10,1
4511,TV Show,151,16
4512,Movie,76,8
4513,TV Show,111,18
4514,Movie,18,3
4515,TV Show,5,1
4516,TV Show,868,246
4517,Movie,113,15
4518,TV Show,173,22
4519,TV Show,15,6
4520,Movie,20,2
4521,TV Show,160,17
4522,Movie,84,9
4523,TV Show,12,2
4524,Movie,24,4
4525,TV Show,116,19
4526,TV Show,872,247
4527,Movie,116,16
4528,TV Show,17,7
4529,TV Show,174,23
4530,Movie,30,3
4531,TV Show,169,18
4532,Movie,92,10
4533,TV Show,19,3
4534,Movie,30,5
4535,TV Show,121,20
4536,TV Show,876,248
4537,TV Show,20,8
4538,Movie,118,17
4539,TV Show,175,24
4540,TV Show,179,19
4541,Movie,39,4
4542,TV Show,27,4
4543,TV Show,73,13
4544,Movie,98,11
4545,TV Show,881,249
4546,TV Show,125,21
4547,Movie,33,6
4548,Movie,120,18
4549,TV Show,176,25
4550,TV Show,189,20
4551,Movie,48,5
4552,TV Show,35,5
4553,TV Show,80,14
4554,Movie,104,12
4555,TV Show,886,250
4556,TV Show,129,22
4557,Movie,36,7
4558,Movie,122,19
4559,TV Show,177,26
4560,TV Show,199,21
4561,TV Show,138,23
4562,TV Show,43,6
4563,Movie,55,6
4564,Movie,110,13
4565,TV Show,85,15
4566,TV Show,890,251
4567,TV Show,3,1
4568,Movie,124,20
4569,Movie,37,8
4570,TV Show,209,22
4571,TV Show,147,24
4572,TV Show,51,7
4573,Movie,62,7
4574,TV Show,9,2
4575,Movie,115,14
4576,TV Show,894,252
4577,TV Show,88,16
4578,TV Show,2,1
4579,Movie,125,21
4580,TV Show,219,23
4581,TV Show,60,8
4582,Movie,8,1
4583,TV Show,154,25
4584,Movie,68,8
4585,Movie,120,15
4586,TV Show,6,2
4587,TV Show,897,253
4588,TV Show,11,3
4589,TV Show,89,17
4590,TV Show,229,24
4591,Movie,17,2
4592,TV Show,68,9
4593,TV Show,161,26
4594,Movie,74,9
4595,Movie,125,16
4596,Movie,4,1
4597,TV Show,900,254
4598,TV Show,8,3
4599,TV Show,12,4
4600,TV Show,239,25
4601,TV Show,77,10
4602,Movie,25,3
4603,Movie,11,2
4604,TV Show,167,27
4605,Movie,79,10
4606,TV Show,12,4
4607,Movie,128,17
4608,TV Show,902,255
4609,Movie,1,1
4610,TV Show,249,26
4611,TV Show,86,11
4612,Movie,33,4
4613,Movie,18,3
4614,TV Show,173,28
4615,Movie,6,2
4616,Movie,83,11
4617,TV Show,15,5
4618,TV Show,904,256
4619,Movie,129,18
4620,TV Show,259,27
4621,TV Show,95,12
4622,TV Show,181,29
4623,Movie,25,4
4624,Movie,39,5
4625,TV Show,909,257
4626,TV Show,19,6
4627,Movie,9,3
4628,Movie,2,1
4629,Movie,84,12
4630,TV Show,269,28
4631,TV Show,104,13
4632,Movie,33,5
4633,TV Show,188,30
4634,TV Show,915,258
4635,Movie,44,6
4636,TV Show,23,7
4637,Movie,12,4
4638,Movie,4,2
4639,Movie,85,13
4640,TV Show,279,29
4641,TV Show,113,14
4642,TV Show,8,1
4643,Movie,40,6
4644,TV Show,194,31
4645,TV Show,920,259
4646,Movie,4,1
4647,Movie,47,7
4648,Movie,14,5
4649,Movie,5,3
4650,TV Show,175,28
4651,TV Show,288,30
4652,TV Show,121,15
4653,Movie,7,1
4654,TV Show,6,1
4655,TV Show,13,2
4656,TV Show,924,260
4657,Movie,50,8
4658,TV Show,196,32
4659,Movie,41,7
4660,TV Show,185,29
4661,TV Show,297,31
4662,TV Show,129,16
4663,TV Show,13,2
4664,Movie,13,2
4665,Movie,9,2
4666,Movie,54,9
4667,TV Show,927,261
4668,TV Show,15,3
4669,Movie,42,8
4670,TV Show,195,30
4671,TV Show,306,32
4672,TV Show,21,3
4673,TV Show,136,17
4674,Movie,19,3
4675,Movie,14,3
4676,Movie,58,10
4677,TV Show,930,262
4678,Movie,44,9
4679,TV Show,16,4
4680,TV Show,205,31
4681,TV Show,315,33
4682,TV Show,29,4
4683,TV Show,143,18
4684,Movie,25,4
4685,Movie,19,4
4686,TV Show,934,263
4687,Movie,61,11
4688,TV Show,198,33
4689,TV Show,1,1
4690,TV Show,215,32
4691,TV Show,324,34
4692,TV Show,37,5
4693,TV Show,150,19
4694,TV Show,940,264
4695,Movie,30,5
4696,Movie,23,5
4697,TV Show,4,2
4698,Movie,63,12
4699,TV Show,199,34
4700,TV Show,225,33
4701,TV Show,333,35
4702,Movie,8,1
4703,TV Show,157,20
4704,TV Show,43,6
4705,TV Show,945,265
4706,TV Show,4,1
4707,Movie,33,6
4708,TV Show,6,3
4709,Movie,64,13
4710,TV Show,235,34
4711,TV Show,99,15
4712,Movie,16,2
4713,TV Show,340,36
4714,TV Show,10,2
4715,TV Show,162,21
4716,TV Show,47,7
4717,TV Show,948,266
4718,TV Show,8,4
4719,Movie,34,7
4720,TV Show,109,16
4721,TV Show,244,35
4722,Movie,8,1
4723,Movie,23,3
4724,TV Show,16,3
4725,TV Show,345,37
4726,Movie,4,1
4727,TV Show,165,22
4728,TV Show,49,8
4729,TV Show,949,267
4730,TV Show,254,36
4731,TV Show,118,17
4732,Movie,31,4
4733,Movie,15,2
4734,TV Show,22,4
4735,Movie,9,2
4736,TV Show,349,38
4737,Movie,3,1
4738,TV Show,167,23
4739,TV Show,950,268
4740,TV Show,264,37
4741,TV Show,127,18
4742,Movie,17,3
4743,TV Show,29,5
4744,Movie,37,5
4745,TV Show,354,39
4746,Movie,19,3
4747,Movie,6,2
4748,TV Show,169,24
4749,Movie,1,1
4750,TV Show,274,38
4751,TV Show,136,19
4752,Movie,25,4
4753,TV Show,361,40
4754,TV Show,35,6
4755,Movie,11,3
4756,Movie,5,2
4757,Movie,3,1
4758,Movie,39,6
4759,Movie,1,1
4760,TV Show,284,39
4761,TV Show,145,20
4762,Movie,33,5
4763,TV Show,368,41
4764,Movie,17,4
4765,TV Show,40,7
4766,Movie,7,2
4767,Movie,8,3
4768,Movie,3,2
4769,TV Show,170,25
4770,TV Show,294,40
4771,TV Show,154,21
4772,Movie,41,6
4773,TV Show,375,42
4774,Movie,23,5
4775,TV Show,45,8
4776,Movie,11,3
4777,Movie,11,4
4778,Movie,5,3
4779,TV Show,171,26
4780,TV Show,304,41
4781,TV Show,163,22
4782,TV Show,383,43
4783,Movie,48,7
4784,Movie,29,6
4785,Movie,16,4
4786,Movie,15,5
4787,TV Show,48,9
4788,Movie,2,1
4789,Movie,6,4
4790,TV Show,314,42
4791,TV Show,172,23
4792,TV Show,391,44
4793,Movie,55,8
4794,Movie,6,1
4795,TV Show,5,1
4796,Movie,20,5
4797,Movie,32,7
4798,TV Show,952,269
4799,Movie,16,6
4800,Movie,16,2
4801,TV Show,323,43
4802,TV Show,399,45
4803,TV Show,179,24
4804,Movie,6,1
4805,TV Show,10,2
4806,Movie,4,1
4807,TV Show,955,270
4808,Movie,22,6
4809,Movie,7,5
4810,Movie,26,3
4811,TV Show,332,44
4812,TV Show,407,46
4813,Movie,11,2
4814,TV Show,185,25
4815,Movie,11,2
4816,Movie,26,7
4817,TV Show,958,271
4818,TV Show,12,3
4819,Movie,33,8
4820,Movie,36,4
4821,TV Show,341,45
4822,TV Show,415,47
4823,Movie,18,3
4824,TV Show,191,26
4825,TV Show,963,272
4826,Movie,15,3
4827,Movie,29,8
4828,Movie,35,9
4829,Movie,17,7
4830,TV Show,173,29
4831,Movie,45,5
4832,TV Show,349,46
4833,TV Show,422,48
4834,TV Show,197,27
4835,TV Show,968,273
4836,Movie,22,4
4837,TV Show,3,1
4838,Movie,17,4
4839,Movie,30,9
4840,TV Show,183,30
4841,TV Show,49,10
4842,Movie,53,6
4843,TV Show,356,47
4844,TV Show,428,49
4845,TV Show,973,274
4846,TV Show,42,14
4847,TV Show,200,28
4848,TV Show,5,2
4849,Movie,23,5
4850,TV Show,193,31
4851,TV Show,58,11
4852,TV Show,364,48
4853,Movie,7,1
4854,Movie,59,7
4855,TV Show,433,50
4856,TV Show,46,15
4857,TV Show,976,275
4858,TV Show,293,42
4859,TV Show,6,3
4860,TV Show,303,43
4861,TV Show,202,32
4862,TV Show,66,12
4863,Movie,14,2
4864,TV Show,370,49
4865,TV Show,981,276
4866,TV Show,50,16
4867,TV Show,436,51
4868,Movie,61,8
4869,TV Show,7,4
4870,TV Show,313,44
4871,TV Show,211,33
4872,Movie,22,3
4873,TV Show,73,13
4874,Movie,6,1
4875,TV Show,375,50
4876,TV Show,985,277
4877,TV Show,53,17
4878,TV Show,438,52
4879,Movie,62,9
4880,TV Show,323,45
4881,TV Show,220,34
4882,Movie,8,1
4883,Movie,29,4
4884,TV Show,79,14
4885,Movie,11,2
4886,TV Show,379,51
4887,TV Show,988,278
4888,TV Show,440,53
4889,TV Show,54,18
4890,TV Show,333,46
4891,TV Show,229,35
4892,Movie,16,2
4893,Movie,18,3
4894,Movie,35,5
4895,TV Show,84,15
4896,TV Show,383,52
4897,TV Show,991,279
4898,TV Show,56,19
4899,TV Show,441,54
4900,TV Show,343,47
4901,TV Show,238,36
4902,Movie,26,4
4903,Movie,23,3
4904,TV Show,6,1
4905,TV Show,996,280
4906,TV Show,88,16
4907,TV Show,386,53
4908,Movie,37,6
4909,TV Show,57,20
4910,TV Show,353,48
4911,TV Show,247,37
4912,TV Show,8,1
4913,Movie,33,5
4914,Movie,29,4
4915,TV Show,11,2
4916,TV Show,1000,281
4917,TV Show,389,54
4918,TV Show,90,17
4919,TV Show,58,21
4920,TV Show,363,49
4921,TV Show,256,38
4922,TV Show,16,2
4923,TV Show,18,3
4924,Movie,39,6
4925,Movie,34,5
4926,Movie,4,1
4927,TV Show,1003,282
4928,TV Show,391,55
4929,TV Show,91,18
4930,TV Show,373,50
4931,Movie,9,1
4932,TV Show,264,39
4933,TV Show,23,3
4934,Movie,10,2
4935,TV Show,5,1
4936,TV Show,22,4
4937,Movie,42,7
4938,TV Show,1005,283
4939,Movie,35,6
4940,TV Show,383,51
4941,Movie,18,2
4942,TV Show,272,40
4943,TV Show,30,4
4944,TV Show,11,2
4945,Movie,15,3
4946,TV Show,26,5
4947,Movie,45,8
4948,Movie,37,7
4949,TV Show,1006,284
4950,Movie,28,3
4951,TV Show,392,52
4952,TV Show,280,41
4953,TV Show,18,3
4954,TV Show,36,5
4955,Movie,20,4
4956,Movie,49,9
4957,TV Show,29,6
4958,Movie,39,8
4959,TV Show,1007,285
4960,TV Show,402,53
4961,Movie,37,4
4962,TV Show,288,42
4963,TV Show,25,4
4964,TV Show,42,6
4965,Movie,25,5
4966,TV Show,1011,286
4967,TV Show,32,7
4968,Movie,51,10
4969,Movie,1,1
4970,TV Show,412,54
4971,Movie,46,5
4972,TV Show,296,43
4973,TV Show,32,5
4974,TV Show,48,7
4975,TV Show,1016,287
4976,Movie,5,2
4977,Movie,28,6
4978,TV Show,34,8
4979,Movie,52,11
4980,TV Show,422,55
4981,Movie,55,6
4982,TV Show,304,44
4983,TV Show,39,6
4984,TV Show,54,8
4985,TV Show,1021,288
4986,Movie,9,3
4987,Movie,31,7
4988,TV Show,36,9
4989,Movie,53,12
4990,Movie,10,1
4991,TV Show,431,56
4992,Movie,63,7
4993,TV Show,311,45
4994,TV Show,45,7
4995,TV Show,1026,289
4996,TV Show,4,1
4997,TV Show,57,9
4998,Movie,11,4
4999,TV Show,37,10
5000,Movie,20,2
5001,Movie,72,8
5002,TV Show,439,57
5003,TV Show,318,46
5004,Movie,6,1
5005,TV Show,5,1
5006,TV Show,49,8
5007,TV Show,1029,290
5008,TV Show,6,2
5009,TV Show,58,10
5010,Movie,30,3
5011,Movie,15,2
5012,Movie,80,9
5013,TV Show,446,58
5014,TV Show,11,2
5015,TV Show,323,47
5016,TV Show,53,9
5017,TV Show,1032,291
5018,TV Show,8,3
5019,TV Show,59,11
5020,Movie,25,3
5021,Movie,39,4
5022,Movie,88,10
5023,TV Show,453,59
5024,TV Show,329,48
5025,TV Show,16,3
5026,TV Show,57,10
5027,TV Show,11,4
5028,TV Show,1034,292
5029,TV Show,60,12
5030,Movie,35,4
5031,TV Show,462,60
5032,Movie,96,11
5033,TV Show,336,49
5034,Movie,45,5
5035,TV Show,21,4
5036,TV Show,61,11
5037,TV Show,1037,293
5038,TV Show,2,1
5039,TV Show,61,13
5040,TV Show,472,61
5041,Movie,44,5
5042,TV Show,344,50
5043,Movie,103,12
5044,Movie,51,6
5045,TV Show,26,5
5046,TV Show,1041,294
5047,TV Show,64,12
5048,TV Show,4,2
5049,TV Show,62,14
5050,TV Show,482,62
5051,TV Show,353,51
5052,Movie,111,13
5053,Movie,51,6
5054,TV Show,1047,295
5055,Movie,56,7
5056,TV Show,30,6
5057,TV Show,67,13
5058,TV Show,6,3
5059,Movie,1,1
5060,TV Show,492,63
5061,TV Show,362,52
5062,Movie,119,14
5063,TV Show,1054,296
5064,Movie,57,7
5065,TV Show,11,4
5066,TV Show,34,7
5067,Movie,59,8
5068,TV Show,69,14
5069,Movie,2,2
5070,Movie,10,1
5071,Movie,9,1
5072,Movie,127,15
5073,TV Show,499,64
5074,TV Show,368,53
5075,TV Show,1059,297
5076,TV Show,15,5
5077,TV Show,3,1
5078,TV Show,36,8
5079,Movie,60,9
5080,Movie,20,2
5081,Movie,18,2
5082,Movie,135,16
5083,TV Show,506,65
5084,TV Show,447,55
5085,TV Show,373,54
5086,TV Show,7,2
5087,TV Show,1062,298
5088,TV Show,17,6
5089,TV Show,37,9
5090,Movie,30,3
5091,Movie,27,3
5092,TV Show,455,56
5093,TV Show,14,3
5094,TV Show,512,66
5095,Movie,140,17
5096,TV Show,377,55
5097,TV Show,1065,299
5098,TV Show,19,7
5099,TV Show,1,1
5100,Movie,40,4
5101,Movie,36,4
5102,TV Show,463,57
5103,TV Show,21,4
5104,TV Show,383,56
5105,TV Show,517,67
5106,Movie,144,18
5107,TV Show,1068,300
5108,Movie,2,1
5109,TV Show,20,8
5110,Movie,50,5
5111,TV Show,472,58
5112,Movie,44,5
5113,TV Show,28,5
5114,TV Show,389,57
5115,TV Show,522,68
5116,TV Show,1072,301
5117,Movie,147,19
5118,Movie,4,2
5119,TV Show,21,9
5120,Movie,60,6
5121,TV Show,481,59
5122,TV Show,8,1
5123,Movie,51,6
5124,TV Show,395,58
5125,TV Show,33,6
5126,TV Show,526,69
5127,TV Show,1075,302
5128,Movie,149,20
5129,Movie,1,1
5130,TV Show,18,2
5131,Movie,69,7
5132,TV Show,489,60
5133,Movie,8,2
5134,Movie,57,7
5135,TV Show,400,59
5136,TV Show,1079,303
5137,TV Show,529,70
5138,TV Show,35,7
5139,Movie,150,21
5140,Movie,10,1
5141,TV Show,27,3
5142,Movie,8,1
5143,TV Show,496,61
5144,Movie,75,8
5145,Movie,13,3
5146,Movie,61,8
5147,TV Show,1082,304
5148,Movie,152,22
5149,TV Show,401,60
5150,Movie,20,2
5151,TV Show,36,4
5152,Movie,16,2
5153,Movie,82,9
5154,TV Show,502,62
5155,Movie,18,4
5156,Movie,65,9
5157,Movie,155,23
5158,TV Show,1084,305
5159,TV Show,402,61
5160,Movie,30,3
5161,TV Show,45,5
5162,Movie,24,3
5163,TV Show,509,63
5164,Movie,88,10
5165,Movie,23,5
5166,TV Show,1088,306
5167,Movie,68,10
5168,Movie,157,24
5169,TV Show,403,62
5170,TV Show,55,6
5171,Movie,39,4
5172,Movie,32,4
5173,TV Show,516,64
5174,TV Show,1094,307
5175,TV Show,408,63
5176,Movie,92,11
5177,Movie,26,6
5178,TV Show,531,71
5179,Movie,158,25
5180,TV Show,65,7
5181,Movie,48,5
5182,TV Show,524,65
5183,Movie,39,5
5184,TV Show,1100,308
5185,TV Show,413,64
5186,Movie,96,12
5187,TV Show,534,72
5188,Movie,160,26
5189,Movie,27,7
5190,TV Show,75,8
5191,Movie,57,6
5192,TV Show,532,66
5193,Movie,7,1
5194,Movie,45,6
5195,TV Show,1105,309
5196,Movie,4,1
5197,TV Show,3,1
5198,TV Show,415,65
5199,Movie,161,27
5200,TV Show,85,9
5201,Movie,9,1
5202,TV Show,11,2
5203,TV Show,539,67
5204,Movie,63,7
5205,Movie,12,2
5206,Movie,8,2
5207,TV Show,1108,310
5208,Movie,47,7
5209,TV Show,416,66
5210,TV Show,95,10
5211,TV Show,89,17
5212,Movie,17,2
5213,TV Show,18,3
5214,Movie,18,3
5215,Movie,13,3
5216,TV Show,543,68
5217,Movie,66,8
5218,TV Show,1110,311
5219,Movie,162,28
5220,TV Show,105,11
5221,TV Show,98,18
5222,TV Show,26,4
5223,Movie,24,3
5224,Movie,24,4
5225,Movie,18,4
5226,TV Show,547,69
5227,Movie,69,9
5228,TV Show,1112,312
5229,TV Show,1,1
5230,TV Show,115,12
5231,TV Show,107,19
5232,TV Show,34,5
5233,Movie,31,4
5234,Movie,30,5
5235,Movie,23,5
5236,TV Show,551,70
5237,TV Show,4,2
5238,Movie,2,1
5239,TV Show,1113,313
5240,TV Show,125,13
5241,TV Show,43,6
5242,TV Show,115,20
5243,Movie,38,5
5244,Movie,8,2
5245,TV Show,556,71
5246,TV Show,8,3
5247,Movie,26,6
5248,Movie,32,6
5249,TV Show,1114,314
5250,TV Show,135,14
5251,TV Show,52,7
5252,TV Show,123,21
5253,TV Show,563,72
5254,Movie,44,6
5255,TV Show,1119,315
5256,TV Show,12,4
5257,Movie,11,3
5258,Movie,28,7
5259,Movie,33,7
5260,TV Show,145,15
5261,TV Show,61,8
5262,TV Show,131,22
5263,TV Show,570,73
5264,TV Show,160,26
5265,TV Show,1124,316
5266,TV Show,16,5
5267,Movie,47,7
5268,Movie,13,4
5269,TV Show,1,1
5270,TV Show,155,16
5271,TV Show,70,9
5272,TV Show,139,23
5273,TV Show,167,27
5274,TV Show,1130,317
5275,TV Show,575,74
5276,TV Show,5,2
5277,TV Show,19,6
5278,Movie,49,8
5279,Movie,14,5
5280,Movie,10,1
5281,TV Show,314,44
5282,TV Show,163,17
5283,TV Show,77,10
5284,TV Show,1136,318
5285,TV Show,172,28
5286,TV Show,143,24
5287,TV Show,22,7
5288,TV Show,577,75
5289,TV Show,6,3
5290,Movie,20,2
5291,TV Show,323,45
5292,TV Show,85,11
5293,TV Show,170,18
5294,TV Show,1142,319
5295,TV Show,27,8
5296,Movie,4,1
5297,TV Show,175,29
5298,TV Show,145,25
5299,TV Show,7,4
5300,Movie,30,3
5301,TV Show,332,46
5302,TV Show,178,19
5303,TV Show,92,12
5304,Movie,10,2
5305,TV Show,1147,320
5306,TV Show,11,5
5307,Movie,3,1
5308,TV Show,29,9
5309,TV Show,578,76
5310,Movie,40,4
5311,TV Show,341,47
5312,TV Show,186,20
5313,TV Show,99,13
5314,Movie,16,3
5315,TV Show,1152,321
5316,TV Show,15,6
5317,Movie,6,2
5318,TV Show,31,10
5319,TV Show,579,77
5320,TV Show,351,48
5321,Movie,49,5
5322,TV Show,194,21
5323,TV Show,106,14
5324,Movie,22,4
5325,TV Show,1157,322
5326,TV Show,583,78
5327,Movie,9,3
5328,TV Show,33,11
5329,TV Show,16,7
5330,TV Show,361,49
5331,TV Show,203,22
5332,Movie,57,6
5333,TV Show,182,30
5334,TV Show,112,15
5335,TV Show,1162,323
5336,TV Show,587,79
5337,Movie,25,5
5338,Movie,11,4
5339,TV Show,34,12
5340,TV Show,371,50
5341,TV Show,212,23
5342,Movie,8,1
5343,Movie,64,7
5344,TV Show,188,31
5345,TV Show,1167,324
5346,TV Show,116,16
5347,TV Show,590,80
5348,Movie,2,1
5349,Movie,12,5
5350,TV Show,10,1
5351,Movie,17,2
5352,TV Show,379,51
5353,TV Show,219,24
5354,Movie,70,8
5355,TV Show,193,32
5356,TV Show,1171,325
5357,Movie,5,2
5358,Movie,14,6
5359,TV Show,35,13
5360,TV Show,20,2
5361,Movie,26,3
5362,TV Show,227,25
5363,TV Show,386,52
5364,Movie,76,9
5365,Movie,10,3
5366,TV Show,1175,326
5367,TV Show,3,1
5368,TV Show,195,33
5369,Movie,15,7
5370,TV Show,30,3
5371,TV Show,12,2
5372,Movie,34,4
5373,TV Show,234,26
5374,TV Show,392,53
5375,Movie,81,10
5376,Movie,4,1
5377,TV Show,1178,327
5378,TV Show,197,34
5379,Movie,11,4
5380,TV Show,40,4
5381,TV Show,21,3
5382,Movie,42,5
5383,TV Show,241,27
5384,TV Show,398,54
5385,Movie,86,11
5386,Movie,8,2
5387,TV Show,1181,328
5388,TV Show,199,35
5389,Movie,12,5
5390,TV Show,31,4
5391,TV Show,49,5
5392,TV Show,249,28
5393,TV Show,405,55
5394,Movie,48,6
5395,Movie,13,3
5396,TV Show,1185,329
5397,TV Show,202,36
5398,Movie,88,12
5399,TV Show,36,14
5400,TV Show,41,5
5401,TV Show,58,6
5402,TV Show,257,29
5403,TV Show,412,56
5404,Movie,54,7
5405,Movie,18,4
5406,TV Show,1189,330
5407,TV Show,205,37
5408,Movie,90,13
5409,TV Show,37,15
5410,TV Show,51,6
5411,TV Show,67,7
5412,Movie,8,1
5413,Movie,7,1
5414,TV Show,6,1
5415,TV Show,210,38
5416,TV Show,261,30
5417,TV Show,415,57
5418,TV Show,1191,331
5419,Movie,55,8
5420,TV Show,61,7
5421,Movie,17,2
5422,TV Show,75,8
5423,Movie,14,2
5424,Movie,6,1
5425,TV Show,5,1
5426,Movie,4,1
5427,TV Show,9,2
5428,TV Show,212,39
5429,TV Show,1192,332
5430,TV Show,71,8
5431,Movie,13,2
5432,TV Show,13,2
5433,Movie,13,2
5434,Movie,23,3
5435,Movie,19,3
5436,TV Show,79,9
5437,TV Show,12,3
5438,TV Show,1194,333
5439,TV Show,262,31
5440,TV Show,81,9
5441,Movie,22,3
5442,TV Show,21,3
5443,Movie,20,3
5444,Movie,25,4
5445,TV Show,84,10
5446,Movie,27,4
5447,TV Show,15,4
5448,TV Show,264,32
5449,TV Show,1195,334
5450,TV Show,91,10
5451,TV Show,30,4
5452,Movie,30,4
5453,Movie,27,4
5454,Movie,31,5
5455,TV Show,89,11
5456,TV Show,1199,335
5457,Movie,30,5
5458,TV Show,17,5
5459,TV Show,265,33
5460,TV Show,101,11
5461,TV Show,39,5
5462,Movie,8,1
5463,Movie,37,5
5464,Movie,37,6
5465,Movie,32,5
5466,TV Show,93,12
5467,TV Show,1202,336
5468,Movie,32,6
5469,TV Show,266,34
5470,Movie,18,2
5471,Movie,9,1
5472,Movie,40,6
5473,Movie,44,6
5474,Movie,43,7
5475,Movie,37,7
5476,Movie,166,29
5477,Movie,58,9
5478,Movie,123,21
5479,Movie,91,14
5480,TV Show,111,12
5481,TV Show,48,6
5482,Movie,26,3
5483,Movie,16,2
5484,Movie,46,7
5485,TV Show,98,13
5486,Movie,47,8
5487,Movie,47,7
5488,TV Show,1204,337
5489,TV Show,213,40
5490,TV Show,121,13
5491,Movie,9,1
5492,TV Show,8,1
5493,TV Show,55,7
5494,Movie,52,8
5495,Movie,31,4
5496,TV Show,4,1
5497,TV Show,55,15
5498,TV Show,1206,338
5499,TV Show,99,14
5500,TV Show,131,14
5501,Movie,18,2
5502,TV Show,16,2
5503,TV Show,62,8
5504,Movie,58,9
5505,TV Show,9,2
5506,Movie,35,5
5507,Movie,3,1
5508,TV Show,1208,339
5509,Movie,48,9
5510,TV Show,141,15
5511,Movie,27,3
5512,TV Show,24,3
5513,TV Show,69,9
5514,Movie,9,2
5515,Movie,63,10
5516,TV Show,13,3
5517,Movie,38,6
5518,TV Show,1210,340
5519,Movie,49,10
5520,TV Show,151,16
5521,TV Show,10,2
5522,TV Show,32,4
5523,Movie,34,4
5524,TV Show,75,10
5525,Movie,14,3
5526,TV Show,17,4
5527,TV Show,1213,341
5528,Movie,65,11
5529,Movie,1,1
5530,TV Show,161,17
5531,TV Show,19,3
5532,TV Show,40,5
5533,Movie,41,5
5534,TV Show,81,11
5535,Movie,19,4
5536,TV Show,21,5
5537,TV Show,1216,342
5538,Movie,67,12
5539,Movie,2,2
5540,TV Show,171,18
5541,TV Show,28,4
5542,TV Show,48,6
5543,Stand-Up Comedy,7,1
5544,Movie,47,6
5545,Movie,5,1
5546,TV Show,85,12
5547,Movie,5,3
5548,TV Show,1218,343
5549,Movie,20,5
5550,TV Show,181,19
5551,TV Show,57,7
5552,TV Show,36,5
5553,Stand-Up Comedy,14,2
5554,Movie,11,2
5555,Movie,52,7
5556,TV Show,89,13
5557,Movie,8,4
5558,TV Show,1220,344
5559,Movie,21,6
5560,TV Show,191,20
5561,TV Show,66,8
5562,Stand-Up Comedy,22,3
5563,TV Show,43,6
5564,Movie,58,8
5565,Movie,16,3
5566,Movie,12,5
5567,TV Show,58,16
5568,TV Show,91,14
5569,TV Show,1221,345
5570,TV Show,201,21
5571,TV Show,75,9
5572,Stand-Up Comedy,30,4
5573,TV Show,50,7
5574,Movie,64,9
5575,Movie,21,4
5576,Movie,16,6
5577,TV Show,94,15
5578,TV Show,1223,346
5579,Movie,68,13
5580,TV Show,211,22
5581,TV Show,84,10
5582,Stand-Up Comedy,38,5
5583,TV Show,57,8
5584,Movie,70,10
5585,Movie,26,5
5586,Movie,20,7
5587,TV Show,97,16
5588,TV Show,2,1
5589,TV Show,1224,347
5590,TV Show,221,23
5591,TV Show,93,11
5592,Stand-Up Comedy,46,6
5593,TV Show,64,9
5594,TV Show,167,27
5595,TV Show,7,2
5596,TV Show,101,17
5597,Movie,73,11
5598,TV Show,1226,348
5599,TV Show,25,9
5600,TV Show,231,24
5601,TV Show,102,12
5602,Stand-Up Comedy,54,7
5603,TV Show,174,28
5604,TV Show,70,10
